epoch,train_azimuth,train_distance,train_height,train_s_azimuth,train_s_distance,train_s_height,train_s_side,train_side,train_total,val_azimuth,val_azimuth_circular_mae_deg,val_distance,val_distance_mae,val_height,val_height_mae,val_s_azimuth,val_s_distance,val_s_height,val_s_side,val_side,val_side_accuracy,val_total
1,0.5244239255785942,12.74798936843872,13.161529922485352,-0.0020845739185460844,0.0028138394278357736,0.002859689421893563,0.0028490641416283324,1.3990525126457214,27.765079402923583,1.974908185005188,170.1710693359375,18.350774002075195,18.350774002075195,18.52052001953125,18.52052001953125,-0.004972844384610653,0.005852846894413233,0.005990353878587484,0.005992192309349775,1.3972423553466797,0.3,40.04010238647461
2,0.1900573793798685,10.712907433509827,11.67084698677063,-0.0073661914793774486,0.007877837889827788,0.008086293819360435,0.008180602127686143,1.4047915160655975,23.808089447021484,0.18109822273254395,34.83958282470703,14.886053657531738,14.886053657531738,15.972642517089843,15.972642517089843,-0.010146228596568108,0.010060531087219715,0.01036928966641426,0.010602418333292007,1.4245451450347901,0.1,32.158268737792966
3,0.11518672220408917,9.863233399391174,10.652743530273437,-0.01119726924225688,0.01086784596554935,0.01119507891125977,0.01150947525165975,1.3956353187561035,21.80925817489624,0.03802099674940109,15.677703857421875,14.002775382995605,14.002775382995605,15.391595458984375,15.391595458984375,-0.012376642785966396,0.011750761419534683,0.012104833498597145,0.012506329454481602,1.3926657438278198,0.3,30.483439254760743
