epoch,train_azimuth,train_azimuth_cls,train_distance,train_height,train_side,train_side_focal,train_side_kl,train_side_prior_mix,train_total,val_azimuth,val_azimuth_circular_mae_deg,val_azimuth_class_acc,val_azimuth_cls,val_distance,val_distance_mae,val_height,val_height_mae,val_side,val_side_accuracy,val_side_focal,val_side_kl,val_side_prior_mix,val_total
1,0.5474359035295876,2.0758337613783384,10.059587051993923,10.446981412799735,0.902674521662687,0.9022166160376448,0.0009158112500843249,0.2687630923955064,27.2879721804669,0.06064031105488539,16.207611560821533,0.2484375,2.0542486131191255,4.546496868133545,4.546496868133545,4.978989362716675,4.978989362716675,0.9005570203065872,0.25625,0.9004499539732933,0.00021413862705230713,0.2685079276561737,15.303243565559388
2,0.26871442998220263,2.041121030324384,3.9254929642928276,4.756596256243555,0.9004666095501498,0.9004229714995936,8.72768853840075e-05,0.2684245046816374,14.862505536330374,0.024410674721002577,10.47945613861084,0.315625,1.977948409318924,2.7652676180005074,2.7652676180005074,4.340478873252868,4.340478873252868,0.9004418268799782,0.246875,0.900386455655098,0.00011073872447013855,0.268358051776886,12.734283578395843
3,0.17696820674954275,1.9167101430265527,3.315092581667398,4.433729623493395,0.9000529729221997,0.900020663675509,6.462378721488149e-05,0.26836829985442917,13.61968071209757,0.01933881239965558,9.984376215934754,0.6578125,1.6897477716207505,2.557796758413315,2.557796758413315,3.96156544983387,3.96156544983387,0.9000026926398277,0.25,0.8999335274100304,0.0001383371651172638,0.2684463858604431,11.847798359394073
4,0.12496327089243814,1.5626072060120733,3.1802413275367334,4.130840094465959,0.9005422184341833,0.9004739671945572,0.00013650247925206234,0.26850712730696324,12.725784019420022,0.016998717002570628,9.080957889556885,0.871875,1.0901607781648637,2.962352102994919,2.962352102994919,4.00451847910881,4.00451847910881,0.9002330839633942,0.2640625,0.9000434070825577,0.0003793574869632721,0.26865217089653015,11.69196127653122
5,0.10392744498523443,1.1843264032351344,3.1362665264230025,4.067441546603253,0.9007706097082088,0.9006726675127682,0.00019588321447372437,0.2686535443522428,12.198971811093783,0.019988826476037502,9.280520415306091,0.9359375,0.8507390007376671,2.6949760422110556,2.6949760422110556,3.813101422786713,3.813101422786713,0.9011312067508698,0.2609375,0.9006881698966026,0.0008860804140567779,0.2687522768974304,11.003319036960601
6,0.0884421033980815,1.0272909736162739,3.1606045553558753,3.966799961893182,0.9016871346454871,0.9015761417777914,0.00022198495111967387,0.2687389040855985,11.938328297514664,0.018980860989540816,9.363911080360413,0.9703125,0.753652648627758,2.9102803483605384,2.9102803483605384,4.332544384896755,4.332544384896755,0.9002420574426651,0.225,0.9000499993562698,0.0003841161727905273,0.2686923146247864,11.635407304763794
7,0.08172398168397577,0.963494005564012,3.171268554110276,3.8886786213046625,0.9012287737507569,0.9009742497613555,0.0005090489591422834,0.268804065098888,11.791804288562975,0.014263302739709615,7.672942662239075,0.9859375,0.6860441103577614,2.749059320986271,2.749059320986271,3.822458228468895,3.822458228468895,0.9012972310185432,0.2625,0.9007883846759797,0.0010176926851272583,0.2691817581653595,10.891277158260346
8,0.07262866154901292,0.9373144542700366,3.1629975124409326,3.78324041397948,0.9033245844276327,0.9031866330065226,0.00027590617537498474,0.2692881693181239,11.64210798238453,0.010942509770393372,7.037388586997986,0.9890625,0.642547570168972,2.783595305681229,2.783595305681229,3.7253829285502436,3.7253829285502436,0.89960967451334,0.275,0.8994235202670098,0.000372314453125,0.2693159282207489,10.771849596500397
9,0.06259737239758435,0.8680932886506382,3.0555971986369084,3.7062231255205056,0.8981649514875913,0.898080035651985,0.00016983304368822197,0.26952664691366646,11.347768143603677,0.007411984819918871,5.387128067016602,0.99375,0.5820539891719818,2.3592928424477577,2.3592928424477577,3.5612893968820574,3.5612893968820574,0.8989793464541436,0.271875,0.8988188654184341,0.0003209613263607025,0.26970168948173523,10.113377511501312
10,0.05664767994006213,0.8362691872998288,2.852331221103668,3.278698115756637,0.9003604391687795,0.900227138478505,0.00026659392996838217,0.26989104794828517,10.682035634392186,0.00832702349871397,5.8284684181213375,0.9921875,0.5650590002536774,2.0035506576299666,2.0035506576299666,2.8981983810663223,2.8981983810663223,0.8985306933522225,0.275,0.8983359426259995,0.00038950741291046145,0.27007460594177246,9.0775848031044
